model,game,motivation,thinking,family,game_category,nash_rate,n_valid,n_invalid,l1_distance,eu_empirical,eu_nash,eu_loss,exploitability,emp_coop_rate,cooperation_bias,epsilon_nash
o4-mini,travelers_dilemma,sabotage,True,OpenAI,pure_iesds,1.0,30,False,0.0,,,,,,,
Claude Sonnet 4.5,travelers_dilemma,self,True,Claude,pure_iesds,1.0,30,False,0.0,,,,,,,
Claude-Haiku-5.2,travelers_dilemma,self,False,Claude,pure_iesds,1.0,30,False,0.0,,,,,,,
gemini-2.5-flash,travelers_dilemma,self,True,Google,pure_iesds,0.8,30,False,0.4,,,,,,,
gemini-2.5-flash-lite,travelers_dilemma,self,False,Google,pure_iesds,0.9,30,False,0.2,,,,,,,
gpt-5.5,travelers_dilemma,self,False,OpenAI,pure_iesds,0.4,30,False,1.2,,,,,,,
o4-mini,travelers_dilemma,self,True,OpenAI,pure_iesds,0.5,30,False,1.0,,,,,,,
Claude Sonnet 4.5,zero_sum_matching,neutral,True,Claude,mixed,1.0,30,False,0.8,1.4,1.0,-0.4,1.0,,,0.0
Claude-Haiku-5.2,zero_sum_matching,neutral,False,Claude,mixed,1.0,30,False,0.8,1.4,1.0,-0.4,1.0,,,0.0
gemini-2.5-flash,zero_sum_matching,neutral,True,Google,mixed,1.0,30,False,0.8,1.4,1.0,-0.4,1.0,,,0.0
gemini-2.5-flash-lite,zero_sum_matching,neutral,False,Google,mixed,1.0,30,False,0.2,1.1,1.0,-0.1,-0.5,,,0.6
gpt-5.5,zero_sum_matching,neutral,False,OpenAI,mixed,1.0,30,False,0.8,1.4,1.0,-0.4,1.0,,,0.0
o4-mini,zero_sum_matching,neutral,True,OpenAI,mixed,1.0,30,False,0.8,1.4,1.0,-0.4,1.0,,,0.0
Claude Sonnet 4.5,zero_sum_matching,real,True,Claude,mixed,1.0,30,False,0.0,1.0,1.0,0.0,-1.0,,,0.4
Claude-Haiku-5.2,zero_sum_matching,real,False,Claude,mixed,1.0,30,False,0.2,0.9,1.0,0.1,-0.5,,,0.0
gemini-2.5-flash,zero_sum_matching,real,True,Google,mixed,1.0,30,False,0.8,1.4,1.0,-0.4,1.0,,,0.0
gemini-2.5-flash-lite,zero_sum_matching,real,False,Google,mixed,1.0,30,False,0.2666,1.1333,1.0,-0.1333,-0.3335,,,0.6222
gpt-5.5,zero_sum_matching,real,False,OpenAI,mixed,1.0,30,False,0.8,1.4,1.0,-0.4,1.0,,,0.0
o4-mini,zero_sum_matching,real,True,OpenAI,mixed,1.0,30,False,0.8,1.4,1.0,-0.4,1.0,,,0.0
Claude Sonnet 4.5,zero_sum_matching,sabotage,True,Claude,mixed,1.0,30,False,0.1334,1.0667,1.0,-0.0667,-0.6665,,,0.5556
Claude-Haiku-5.2,zero_sum_matching,sabotage,False,Claude,mixed,1.0,30,False,0.4666,1.2333,1.0,-0.2333,0.1665,,,0.5556
gemini-2.5-flash,zero_sum_matching,sabotage,True,Google,mixed,1.0,30,False,0.8,1.4,1.0,-0.4,1.0,,,0.0
gemini-2.5-flash-lite,zero_sum_matching,sabotage,False,Google,mixed,1.0,30,False,0.0,1.0,1.0,0.0,-1.0,,,0.4
gpt-5.5,zero_sum_matching,sabotage,False,OpenAI,mixed,1.0,30,False,0.8,1.4,1.0,-0.4,1.0,,,0.0
o4-mini,zero_sum_matching,sabotage,True,OpenAI,mixed,1.0,30,False,0.8,1.4,1.0,-0.4,1.0,,,0.0
Claude Sonnet 4.5,zero_sum_matching,self,True,Claude,mixed,1.0,30,False,0.1334,0.9333,1.0,0.0667,-0.6665,,,0.1554
Claude-Haiku-5.2,zero_sum_matching,self,False,Claude,mixed,1.0,30,False,0.3334,0.8333,1.0,0.1667,-0.1665,,,0.289
gemini-2.5-flash,zero_sum_matching,self,True,Google,mixed,1.0,30,False,0.8,1.4,1.0,-0.4,1.0,,,0.0
gemini-2.5-flash-lite,zero_sum_matching,self,False,Google,mixed,1.0,30,False,0.4,0.8,1.0,0.2,-0.0,,,0.4
gpt-5.5,zero_sum_matching,self,False,OpenAI,mixed,1.0,30,False,0.8,1.4,1.0,-0.4,1.0,,,0.0
o4-mini,zero_sum_matching,self,True,OpenAI,mixed,1.0,30,False,0.8,1.4,1.0,-0.4,1.0,,,0.0
